Gen 44:26	And we said, We will not be able to go down; but if then  our younger brother  goes down with us, we will go down; for not will we be able to see the face of the man,  if our younger brother  is not being with us.
Gen 45:10	And you shall dwell in the land of Goshen, and you will be near me, you and  your sons,  and the sons  of your sons,   your sheep  and  your oxen,  and as much as is yours.
Gen 45:20	And you should not be sparing to the eyes  of your items,  for all the good things of Egypt will be unto you.
Gen 48:6	And the progeny, who ever should be procreated after these will be yours. By the name  of their brothers they shall be called in  those lots.
Gen 48:8	And Israel seeing the sons of Joseph, said, Who are these to you?
Gen 49:19	Gad, a marauder will maraud against him. But he will maraud against him by feet.
Gen 50:17	So say to Joseph, You forgive them the injustice and  their sin! for the wicked way demonstrated against they you. And now you accept the injustice of the attendants of the God  of your father! And Joseph wept  during their speaking  to him.
Hag 1:9	You looked for much, and there became little; and it was carried into the house, and I blew it away.  On account of this, thus says the LORD almighty, Because   my house is deserted, and you each pursue unto  his own house.
Hag 2:23	In  that day, says the LORD almighty, I will take you Zerubbabel the son of Shealtiel  my servant, says the LORD, and I will set you as a seal. For have selected I you, says the LORD almighty.
Hos 2:8	And she did not know that I gave to her the grain, and the wine, and the olive oil, and multiplied silver to her. But she made silver and gold things to Baal.
Hos 4:15	But you, O Israel, be not ignorant! And Judah, enter not into Gilgal, and ascend not unto the house of On, and swear not an oath, saying, The LORD lives!
Hos 6:4	What shall do to I you, O Ephraim? What shall do to I you, O Judah? For  your mercy is as an early morning cloud, and as early morning dew going away.
Hos 6:7	But they are as a man violating covenant. There they showed disdain of me.
Hos 7:9	And strangers ate  his strength,  but he did not know it; and gray hairs broke out to him, and he did not know it.
Hos 7:13	Woe to them, for they leaped back from me. Wretched are they, for they were impious against me. But I ransomed them; but they spoke ill against me with lies,
Hos 8:12	I will write extra to him;  his laws  were considered as strange things, the beloved altars.
Hos 11:8	How shall deal with I you, O Ephraim? Shall I shield you, O Israel? How shall deal with -- I you as Admah? Shall I appoint you even as Zeboim? My heart shall be converted   in the same thing; my repentance was disturbed.
Isa 1:2	Hear, O heaven, and give ear O earth! For the LORD spoke, saying, I have engendered sons, and raised them, but they disregarded me.
Isa 3:14	The LORD himself shall come for judgment with the elders of the people, and with  his rulers.  But you, why did you set on fire  my vineyard, and the seizure of the poor is in  your houses?
Isa 8:13	The LORD of the forces -- sanctify him! and he will be your fear.
Isa 10:7	But he did not ponder thus, and the soul did not consider thus; but he shall dismiss his mind  even  to utterly destroy nations -- not a few.
Isa 14:19	But you shall be tossed in the mountains as dead, being abhorred with many having died being stabbed by a sword, going down into Hades.
Isa 14:20	In which manner a garment being befouled by blood shall not be  clean, so not even shall be you clean; because  you destroyed my land,  and  killed my people;  in no way should you abide into the eon of time -- O evil seed.
Isa 22:13	But they were making glad and leaping for joy, slaying calves, and sacrificing sheep so as to eat meat and to drink wine, saying, We should eat and drink, for tomorrow we die.
Isa 22:16	Why are you here? and what is there to you here? that you quarried for yourself here a memorial, and made for yourself in a high place a memorial, and depicted to yourself a dwelling in the rock.
Isa 23:16	Take a harp! Stray! O harlot city being forgotten. Play the harp well! Sing much! that the memory of you takes place.
Isa 27:12	And it will be in  that day the LORD will shut up together from the aqueduct of the river unto Rhinocora. But you gather together the sons of Israel, according to one by one!
Isa 28:4	And the flower shall be (the one having fallen off of the hope of the glory) upon the tip of the high mountain  as a forerunner of a fig. The one beholding it, before taking it into his hand,   will want to swallow down it.
Isa 28:20	O ones having been restricted, in no way are we able to do combat; but are we ourselves weakened  for you to gather.
Isa 29:15	Woe to the ones deeply making plans, and not according to the LORD. Woe to the ones making plans in secret. And their works shall be in darkness,   and they shall say, Who has seen us, and who shall know us or what we do?
Isa 30:10	The ones saying to the prophets, Do not announce to us! and to the ones that see the visions, Do not speak to us, but speak to us, and announce to us  another addicting delusion,
Isa 30:33	For you shall be exacted before some days; not also for you was it prepared to reign? a deep ravine, wood being situated near a fire, and much wood; the rage of the LORD as a ravine burning under sulphur.
Isa 33:16	This one shall live in a high cave of strong rocks; bread shall be given to him, and  his water  is trustworthy.
Isa 33:22	For my God is great;  the LORD shall not pass me by;  the LORD our judge; the LORD our ruler; the LORD our king; the LORD himself shall deliver us.
Isa 34:16	They go by in number, and not one of them perished; the other did not seek the other; for the LORD gave charge to them, and  his spirit  gathered them.
Isa 34:17	And he shall cast lots for them, and  his hand  divided out parts to them to graze. Into the eon of time you shall inherit; for generations of generations shall rest upon it.
Isa 37:24	For through messengers you berated the LORD. For you said, With the multitude  of chariots I shall ascend unto the height of mountains, and into the ends  of Lebanon; and I felled the height of its cedar, and the beauty of the cypress; and I entered unto the height of the portion of the forest;
